viscosity,Particle_density(g cm-3),Fluid_density (g cm-3),Diameter(cm),Shapefactor,Reynoldsnumber,C_d_exp
2.89,7.96,1.237,0.495,0.779,3.4471,13.317
2.89,7.96,1.237,0.66,0.779,6.7509,8.23
2.89,7.96,1.237,0.991,0.779,16.3408,4.741
1.35,2.68,1.224,0.165,0.779,0.1811,175.45
1.35,2.68,1.224,0.33,0.779,1.2793,28.133
1.35,2.68,1.224,0.495,0.779,3.5117,12.602
1.35,2.68,1.224,0.66,0.779,6.8697,7.806
1.35,2.68,1.224,0.991,0.779,17.2021,4.201
1.35,4.45,1.224,0.165,0.779,0.3742,91.064
1.35,4.45,1.224,0.33,0.779,2.4639,16.806
1.35,4.45,1.224,0.495,0.779,6.3557,8.524
1.35,4.45,1.224,0.66,0.779,12.0748,5.598
1.35,4.45,1.224,0.991,0.779,28.1801,3.469
1.35,7.96,1.224,0.165,0.779,0.7325,49.631
1.35,7.96,1.224,0.33,0.779,4.4008,10.999
1.35,7.96,1.224,0.495,0.779,10.9646,5.98
1.35,7.96,1.224,0.66,0.779,20.1719,4.188
1.35,7.96,1.224,0.991,0.779,45.8912,2.731
6.685,2.68,1.25,0.335,0.64,0.0534,687.818
6.685,2.68,1.25,0.669,0.64,0.4193,89.259
6.685,2.68,1.25,1.004,0.64,1.248,34.011
6.685,2.68,1.25,1.339,0.64,2.5294,19.626
6.685,4.45,1.25,0.335,0.64,0.1087,371.614
6.685,4.45,1.25,0.669,0.64,0.8712,46.274
6.685,4.45,1.25,1.004,0.64,2.4384,19.937
6.685,4.45,1.25,1.339,0.64,4.7792,12.302
6.685,7.96,1.25,0.335,0.64,0.2458,152.423
6.685,7.96,1.25,0.669,0.64,1.6352,27.544
6.685,7.96,1.25,1.004,0.64,4.3723,13.002
6.685,7.96,1.25,1.339,0.64,8.2482,8.66
2.89,2.68,1.237,0.335,0.64,0.2841,129.834
2.89,2.68,1.237,0.669,0.64,1.8864,23.568
2.89,2.68,1.237,1.004,0.64,5.0459,11.116
2.89,2.68,1.237,1.339,0.64,9.4557,7.504
2.89,4.45,1.237,0.335,0.64,0.5373,80.866
2.89,4.45,1.237,0.669,0.64,3.575,14.61
2.89,4.45,1.237,1.004,0.64,8.8425,8.06
2.89,4.45,1.237,1.339,0.64,16.1415,5.733
2.89,7.96,1.237,0.335,0.64,1.1118,39.514
2.89,7.96,1.237,0.669,0.64,6.023,10.771
2.89,7.96,1.237,1.004,0.64,14.407,6.353
2.89,7.96,1.237,1.339,0.64,25.6717,4.743
1.35,2.68,1.224,0.335,0.64,1.1026,39.451
1.35,2.68,1.224,0.669,0.64,6.2901,9.698
1.35,2.68,1.224,1.004,0.64,15.1435,5.647
1.35,2.68,1.224,1.339,0.64,26.9487,4.227
1.35,4.45,1.224,0.335,0.64,2.0383,25.578
1.35,4.45,1.224,0.669,0.64,11.1052,6.894
1.35,4.45,1.224,1.004,0.64,25.055,4.571
1.35,4.45,1.224,1.339,0.64,44.0122,3.511
1.35,7.96,1.224,0.335,0.64,3.9169,14.464
1.35,7.96,1.224,0.669,0.64,17.636,5.707
1.35,7.96,1.224,1.004,0.64,39.4489,3.85
1.35,7.96,1.224,1.339,0.64,66.5827,3.203
6.685,2.68,1.25,0.238,0.756,0.0217,1504.349
6.685,2.68,1.25,0.476,0.756,0.1799,174.638
6.685,2.68,1.25,0.714,0.756,0.5597,60.884
6.685,2.68,1.25,0.952,0.756,1.2152,30.611
6.685,2.68,1.25,1.429,0.756,3.4096,13.123
6.685,4.45,1.25,0.238,0.756,0.0476,696.399
6.685,4.45,1.25,0.476,0.756,0.3636,95.637
6.685,4.45,1.25,0.714,0.756,1.1741,30.958
6.685,4.45,1.25,0.952,0.756,2.4173,17.311
6.685,4.45,1.25,1.429,0.756,6.2991,8.604
6.685,7.96,1.25,0.476,0.756,0.7797,43.606
6.685,7.96,1.25,0.714,0.756,2.2195,18.165
6.685,7.96,1.25,0.952,0.756,4.4274,10.821
6.685,7.96,1.25,1.429,0.756,10.9839,5.934
2.89,2.68,1.237,0.238,0.756,0.1186,268.457
2.89,2.68,1.237,0.476,0.756,0.8806,38.935
2.89,2.68,1.237,0.714,0.756,2.5123,16.144
2.89,2.68,1.237,0.952,0.756,5.0211,9.58
2.89,2.68,1.237,1.429,0.756,12.5196,5.201
2.89,4.45,1.237,0.238,0.756,0.2477,136.998
2.89,4.45,1.237,0.476,0.756,1.6694,24.121
2.89,4.45,1.237,0.714,0.756,4.7361,10.115
2.89,4.45,1.237,0.952,0.756,9.0544,6.56
2.89,4.45,1.237,1.429,0.756,21.4985,3.927
2.89,7.96,1.237,0.476,0.756,3.1792,13.917
2.89,7.96,1.237,0.714,0.756,7.9363,7.537
2.89,7.96,1.237,0.952,0.756,14.9683,5.022
2.89,7.96,1.237,1.429,0.756,34.2811,3.232
1.35,2.68,1.224,0.238,0.756,0.5152,65.04
1.35,2.68,1.224,0.476,0.756,3.2858,12.795
1.35,2.68,1.224,0.714,0.756,8.3052,6.759
1.35,2.68,1.224,0.952,0.756,15.4316,4.641
1.35,2.68,1.224,1.429,0.756,35.9019,2.894
1.35,4.45,1.224,0.238,0.756,1.0276,36.229
1.35,4.45,1.224,0.476,0.756,5.7541,9.244
1.35,4.45,1.224,0.714,0.756,14.6436,4.817
1.35,4.45,1.224,0.952,0.756,26.3094,3.537
1.35,4.45,1.224,1.429,0.756,58.8895,2.383
1.35,7.96,1.224,0.476,0.756,10.1553,6.197
1.35,7.96,1.224,0.714,0.756,23.4366,3.927
1.35,7.96,1.224,0.952,0.756,41.9655,2.903
1.35,7.96,1.224,1.429,0.756,90.1672,2.122
6.685,2.68,1.25,0.229,0.874,0.0243,1066.855
6.685,2.68,1.25,0.458,0.874,0.1864,144.613
6.685,2.68,1.25,0.687,0.874,0.5938,48.081
6.685,2.68,1.25,0.916,0.874,1.3145,23.253
6.685,2.68,1.25,1.145,0.874,2.3438,14.286
6.685,4.45,1.25,0.229,0.874,0.0542,477.804
6.685,4.45,1.25,0.458,0.874,0.3978,71.01
6.685,4.45,1.25,0.687,0.874,1.2183,25.555
6.685,4.45,1.25,0.916,0.874,2.6193,13.105
6.685,4.45,1.25,1.145,0.874,4.5356,8.537
6.685,7.96,1.25,0.229,0.874,0.1164,217.275
6.685,7.96,1.25,0.458,0.874,0.8145,35.523
6.685,7.96,1.25,0.687,0.874,2.3438,14.479
6.685,7.96,1.25,0.916,0.874,4.8277,8.089
6.685,7.96,1.25,1.145,0.874,8.1023,5.609
2.89,2.68,1.237,0.229,0.874,0.1328,190.262
2.89,2.68,1.237,0.458,0.874,0.9316,30.922
2.89,2.68,1.237,0.687,0.874,2.6939,12.481
2.89,2.68,1.237,0.916,0.874,5.485,7.136
2.89,2.68,1.237,1.145,0.874,9.2212,4.931
2.89,4.45,1.237,0.229,0.874,0.2825,93.559
2.89,4.45,1.237,0.458,0.874,1.8325,17.794
2.89,4.45,1.237,0.687,0.874,5.0192,8.005
2.89,4.45,1.237,0.916,0.874,10.0189,4.762
2.89,4.45,1.237,1.145,0.874,16.414,3.465
2.89,7.96,1.237,0.229,0.874,0.5693,48.214
2.89,7.96,1.237,0.458,0.874,3.3553,11.106
2.89,7.96,1.237,0.687,0.874,8.7028,5.571
2.89,7.96,1.237,0.916,0.874,16.9412,3.485
2.89,7.96,1.237,1.145,0.874,27.1606,2.648
1.35,2.68,1.224,0.229,0.874,0.5826,45.22
1.35,2.68,1.224,0.458,0.874,3.4969,10.041
1.35,2.68,1.224,0.687,0.874,9.2018,4.894
1.35,2.68,1.224,0.916,0.874,17.5332,3.195
1.35,2.68,1.224,1.145,0.874,28.3305,2.39
1.35,4.45,1.224,0.229,0.874,1.17,24.841
1.35,4.45,1.224,0.458,0.874,6.4431,6.553
1.35,4.45,1.224,0.687,0.874,16.1556,3.518
1.35,4.45,1.224,0.916,0.874,30.1842,2.389
1.35,4.45,1.224,1.145,0.874,48.2369,1.827
1.35,7.96,1.224,0.229,0.874,2.2197,14.412
1.35,7.96,1.224,0.458,0.874,11.1689,4.554
1.35,7.96,1.224,0.687,0.874,26.7875,2.672
1.35,7.96,1.224,0.916,0.874,49.0486,1.889
1.35,7.96,1.224,1.145,0.874,76.8235,1.504
6.685,2.68,1.25,0.531,0.471,0.1646,289.686
6.685,2.68,1.25,1.063,0.471,1.1492,47.541
6.685,2.68,1.25,1.594,0.471,3.0709,22.468
6.685,4.45,1.25,0.531,0.471,0.3895,115.782
6.685,4.45,1.25,1.063,0.471,2.1168,31.352
6.685,4.45,1.25,1.594,0.471,5.4673,15.863
6.685,7.96,1.25,0.531,0.471,0.7342,68.312
6.685,7.96,1.25,1.063,0.471,3.8667,19.703
6.685,7.96,1.25,1.594,0.471,9.3251,11.434
2.89,2.68,1.237,0.531,0.471,0.8202,62.324
2.89,2.68,1.237,1.063,0.471,4.597,15.874
2.89,2.68,1.237,1.594,0.471,10.7298,9.834
2.89,4.45,1.237,0.531,0.471,1.7064,32.063
2.89,4.45,1.237,1.063,0.471,7.5656,13.049
2.89,4.45,1.237,1.594,0.471,17.6162,8.123
2.89,7.96,1.237,0.531,0.471,2.8906,23.382
2.89,7.96,1.237,1.063,0.471,12.6053,9.836
2.89,7.96,1.237,1.594,0.471,27.9936,6.731
1.35,2.68,1.224,0.531,0.471,2.9225,22.462
1.35,2.68,1.224,1.063,0.471,13.479,8.448
1.35,2.68,1.224,1.594,0.471,29.3475,6.014
1.35,4.45,1.224,0.531,0.471,5.5866,13.62
1.35,4.45,1.224,1.063,0.471,21.0327,7.687
