phi,Re,"Cd,meas"
0.874,26.7875,2.672
0.874,49.0486,1.889
0.874,76.8235,1.504
0.471,0.1646,289.686
0.471,1.1492,47.541
0.471,3.0709,22.468
0.471,0.3895,115.782
0.471,2.1168,31.352
0.471,5.4673,15.863
0.471,0.7342,68.312
0.471,3.8667,19.703
0.471,9.3251,11.434
0.471,0.8202,62.324
0.471,4.597,15.874
0.471,10.7298,9.834
0.471,1.7064,32.063
0.471,7.5656,13.049
0.471,17.6162,8.123
0.471,2.8906,23.382
0.471,12.6053,9.836
0.471,27.9936,6.731
0.471,2.9225,22.462
0.471,13.479,8.448
0.471,29.3475,6.014
0.471,5.5866,13.62
0.471,21.0327,7.687
0.471,44.8739,5.7
0.471,8.8479,11.338
0.471,33.3716,6.376
0.471,66.9087,5.353
0.638,0.028,1860.373
0.602,0.0357,1467.404
0.761,0.0567,618.747
0.788,0.0629,330.708
0.806,0.0933,286.848
0.866,0.0987,210.303
0.87,0.103,132.443
0.708,0.113,280.399
0.749,0.1146,301.303
0.677,0.1316,209.153
0.87,0.1623,158.194
0.732,0.1634,244.463
0.727,0.1756,240.806
0.674,0.1773,181.858
0.812,0.2203,133.382
0.857,0.2713,53.208
0.673,0.2769,118.628
1,0.2779,76.761
0.781,0.2872,82.193
0.88,0.3166,95.348
0.749,0.3261,67.722
0.868,0.338,52.462
0.501,0.3417,115.054
0.97,0.3597,71.171
0.784,0.3624,90.114
1,0.3754,64.102
0.604,0.3775,90.628
0.957,0.3843,55.183
0.679,0.4176,76.859
0.809,0.42,67.674
0.917,0.4216,62.655
0.689,0.4305,58.074
1,0.4355,41.71
0.628,0.4446,64.654
0.903,0.4675,59.421
0.753,0.4814,55.19
0.856,0.4883,61.867
0.691,0.4999,43.408
0.559,0.5136,102.125
0.715,0.5266,52.062
0.93,0.5714,52.579
0.757,0.5798,54.284
0.667,0.5901,66.651
0.723,0.5978,55.523
0.809,0.5989,53.42
0.827,0.6365,49.935
1,0.7368,37.826
0.866,0.7396,39.633
0.795,0.7451,41.857
0.672,0.7474,42.05
0.787,0.7552,37.574
0.835,0.7725,31.322
0.663,0.7876,34.372
0.797,0.8296,35.037
0.913,0.8328,32.36
0.732,0.8404,37.233
0.686,0.9012,37.669
0.818,1.0246,31.596
0.68,1.0386,23.364
0.843,1.0916,27.342
0.983,1.1326,23.863
0.855,1.1388,24.402
0.829,1.2137,25.507
0.684,1.218,28.913
0.592,1.2878,25.143
0.776,1.3031,26.502
0.847,1.3261,24.052
0.621,1.3743,22.479
0.61,1.4112,27.573
0.937,1.4801,18.248
0.601,1.4815,23.688
0.876,1.6197,19.117
0.744,1.6321,17.325
0.797,1.6622,20.668
0.757,1.6851,20.896
0.775,1.7097,18.849
0.812,1.8982,17.446
0.746,2.1035,18.099
0.671,2.252,14.887
0.736,2.5307,14.348
0.58,2.6143,19.153
0.761,2.772,15.338
0.796,2.7915,13.071
0.851,2.8371,13.284
0.746,2.9508,12.913
0.845,3.1093,11.53
0.514,3.3781,9.081
0.677,3.4178,11.189
0.862,3.5702,10.701
0.556,3.6606,11.925
0.707,3.6769,10.68
0.78,3.7072,10.515
0.691,4.3145,10.146
0.717,4.3941,9.224
0.827,4.4739,8.621
0.893,4.7003,8.489
0.822,4.7285,5.297
0.83,4.9067,9.455
0.638,5.3906,12.508
0.679,5.5213,8.525
0.748,5.6825,7.399
0.782,6.1651,7.116
0.761,6.5433,9.817
0.788,6.6714,6.825
0.79,8.3689,6.315
0.87,8.3925,4.305
0.677,8.4684,10.19
0.866,8.5262,6.598
0.749,12.0562,6.31
0.732,13.9293,7.387
0.87,14.8909,3.792
0.674,15.2494,5.524
0.857,16.4676,2.891
0.812,17.3665,4.235
0.868,19.0019,3.306
0.749,19.5276,4.258
1,20.2657,3.05
0.727,21.0832,3.89
1,21.315,2.631
0.501,21.6839,5.614
0.88,22.2856,3.79
0.673,22.5716,3.942
0.604,23.9586,4.534
0.97,26.6708,2.571
0.784,26.938,3.226
0.957,27.4435,2.156
0.809,27.8924,2.997
0.628,28.1824,3.18
1,28.2578,2.227
0.679,28.5721,3.456
1,29.6608,1.791
0.917,30.8511,2.338
0.753,31.7026,2.561
0.903,32.7948,2.382
0.856,34.3013,2.422
0.809,37.3904,2.713
0.691,37.4894,1.968
0.757,37.5712,2.551
0.93,38.2273,2.276
0.689,39.0113,1.659
0.723,40.8858,2.54
0.827,41.299,2.295
